student_id,origin_country,destination_country,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score
S00013,India,UK,University of Edinburgh,Psychology,Computer Science,2020,Yes,Job Opportunities,2022,Placed,UK,Apple,143194,2.78,Student Visa,OPT,IELTS,6.5
S00014,UAE,India,JNU Delhi,Civil Engineering,Business,2020,No,Higher Ranking,2022,Placed,India,Facebook,89534,3.47,F1,Post-Study Visa,TOEFL,6.7
S00015,UK,USA,Harvard University,Psychology,Engineering,2021,Yes,Job Opportunities,2024,Not Placed,,,0,2.91,Study Permit,OPT,TOEFL,6.5
S00016,Ireland,UAE,Manipal Academy Dubai,Medicine,Computer Science,2020,Yes,Higher Ranking,2021,Not Placed,,,0,3,Study Permit,Post-Study Visa,Duolingo,8.1
S00017,South Africa,USA,UC Berkeley,Finance,Social Sciences,2022,No,Political Stability,2023,Placed,USA,Siemens,87234,3,F1,Blue Card,IELTS,6
S00018,UAE,UK,University of Manchester,Data Science,Social Sciences,2023,Yes,Quality of Life,2024,Placed,UK,Intel,126686,2.54,Study Permit,OPT,Duolingo,6.1
S00019,Ireland,UK,King's College London,Architecture,Engineering,2023,Yes,Political Stability,2025,Not Placed,,,0,3.44,Study Permit,Work Permit,PTE,7.8
S00020,South Africa,Russia,Moscow Institute of Physics and Technology,Electrical Engineering,Arts,2019,No,Quality of Life,2021,Not Placed,,,0,3.83,Study Permit,PSW,IELTS,5.2
S00021,Russia,Finland,University of Turku,Electrical Engineering,Medicine,2022,No,Job Opportunities,2024,Not Placed,,,0,3.98,Study Permit,OPT,PTE,8.5
S00022,UK,Canada,Simon Fraser University,Architecture,Medicine,2022,No,Political Stability,2024,Placed,Canada,Intel,138947,2.95,Student Visa,OPT,IELTS,6
S00023,Canada,South Africa,University of Johannesburg,Architecture,Business,2019,Yes,Scholarship,2020,Placed,South Africa,Deloitte,71543,2.74,Schengen Student Visa,OPT,IELTS,6.5
S00024,Germany,UK,University of Edinburgh,Law,Computer Science,2020,No,Quality of Life,2023,Placed,UK,Microsoft,39364,2.56,Tier 4,PSW,,0
S00025,Canada,Finland,University of Eastern Finland,Political Science,Computer Science,2019,No,Political Stability,2022,Placed,Finland,Apple,117865,3.76,J1,Post-Study Visa,Duolingo,7.2
S00026,UAE,Russia,Moscow Institute of Physics and Technology,Biotechnology,Law,2020,No,Higher Ranking,2022,Placed,Russia,Deloitte,78449,2.67,Study Permit,Post-Study Visa,Duolingo,7.9
S00027,Germany,Finland,Tampere University,Medicine,Arts,2019,Yes,Political Stability,2022,Not Placed,,,0,2.92,Tier 4,Post-Study Visa,TOEFL,8.2
S00028,India,Ireland,National University of Ireland Galway,Medicine,Medicine,2020,No,Quality of Life,2022,Placed,Ireland,Amazon,77211,2.92,Study Permit,OPT,PTE,7.3
S00029,Finland,UK,UCL,Electrical Engineering,Business,2023,Yes,Scholarship,2024,Placed,UK,Amazon,130384,3.78,Student Visa,PSW,,0
S00030,Canada,Germany,RWTH Aachen,Business Administration,Medicine,2022,No,Quality of Life,2023,Placed,Germany,SAP,48936,2.58,Study Permit,Blue Card,IELTS,7.4
S00031,India,South Africa,University of Johannesburg,Data Science,Engineering,2020,No,Quality of Life,2023,Placed,South Africa,Google,97998,2.54,Student Visa,OPT,IELTS,5.8
S00032,Russia,UK,King's College London,Psychology,Engineering,2020,No,Quality of Life,2023,Placed,UK,Google,81762,3.8,J1,Work Permit,Duolingo,6.9
S00033,Germany,India,BITS Pilani,Electrical Engineering,Computer Science,2022,No,Scholarship,2025,Placed,India,Deloitte,126333,2.52,F1,Post-Study Visa,,0
S00034,South Africa,USA,UCLA,Finance,Natural Sciences,2021,No,Job Opportunities,2023,Placed,USA,Siemens,131755,2.8,F1,Work Permit,PTE,8.3
S00035,South Africa,Finland,University of Turku,Political Science,Social Sciences,2019,Yes,Quality of Life,2021,Placed,Finland,Google,77843,3.11,Schengen Student Visa,PSW,,0
S00036,Finland,Germany,Technical University of Munich,Data Science,Business,2020,Yes,Job Opportunities,2022,Not Placed,,,0,3.15,J1,Blue Card,IELTS,6.3
S00037,USA,UAE,Zayed University,Data Science,Natural Sciences,2020,No,Scholarship,2023,Not Placed,,,0,3.91,Student Visa,PSW,PTE,7.8
S00038,UAE,UK,University of Oxford,Computer Science,Natural Sciences,2021,Yes,Higher Ranking,2023,Placed,UK,Amazon,56895,3.22,J1,PSW,,0
S00039,South Africa,Ireland,National University of Ireland Galway,Medicine,Social Sciences,2020,No,Quality of Life,2023,Placed,Ireland,Facebook,147376,3.17,Student Visa,Blue Card,TOEFL,7.7
S00040,Canada,India,IISc Bangalore,Law,Business,2021,No,Higher Ranking,2022,Not Placed,,,0,3.85,Study Permit,Work Permit,Duolingo,8.5
S00041,Germany,Ireland,Maynooth University,Economics,Law,2022,No,Scholarship,2025,Placed,Ireland,Tesla,112677,3.34,Tier 4,Post-Study Visa,IELTS,7
S00042,Finland,India,NIT Trichy,Architecture,Arts,2021,Yes,Political Stability,2023,Placed,India,McKinsey,138648,2.77,Schengen Student Visa,Post-Study Visa,PTE,8.2
S00043,UAE,UK,University of Birmingham,Design,Law,2023,Yes,Scholarship,2025,Not Placed,,,0,3.6,Study Permit,Blue Card,,0
S00044,USA,UAE,Heriot-Watt Dubai,Mechanical Engineering,Medicine,2020,Yes,Scholarship,2023,Placed,UAE,Facebook,72107,2.54,Study Permit,PSW,IELTS,6.1
S00045,Ireland,UAE,Middlesex University Dubai,Law,Law,2023,No,Higher Ranking,2025,Placed,UAE,SAP,112487,2.72,Schengen Student Visa,Blue Card,IELTS,5.5
S00046,Canada,UAE,Manipal Academy Dubai,Civil Engineering,Social Sciences,2021,No,Political Stability,2023,Placed,UAE,Siemens,96903,3.63,J1,OPT,IELTS,7.9
S00047,South Africa,USA,Stanford University,Finance,Arts,2019,Yes,Job Opportunities,2021,Not Placed,,,0,3.08,Study Permit,OPT,,0
S00048,Ireland,USA,NYU,Design,Arts,2021,Yes,Scholarship,2022,Not Placed,,,0,3.37,Study Permit,Blue Card,,0
S00049,UK,India,JNU Delhi,Political Science,Natural Sciences,2022,No,Job Opportunities,2025,Not Placed,,,0,2.6,Study Permit,Work Permit,,0
S00050,India,Russia,Novosibirsk State University,Computer Science,Social Sciences,2019,No,Political Stability,2022,Placed,Russia,Google,129074,2.74,Study Permit,Post-Study Visa,,0
S00051,South Africa,UK,Imperial College London,Civil Engineering,Law,2019,No,Political Stability,2020,Not Placed,,,0,3.08,Student Visa,OPT,,0
S00052,South Africa,India,IIT Madras,Electrical Engineering,Social Sciences,2022,Yes,Higher Ranking,2024,Placed,India,SAP,34817,3.1,F1,Blue Card,TOEFL,5.3
S00053,South Africa,Finland,Tampere University,Civil Engineering,Arts,2020,No,Quality of Life,2021,Not Placed,,,0,3.93,Schengen Student Visa,Work Permit,TOEFL,6.1
S00054,South Africa,USA,NYU,Psychology,Engineering,2022,Yes,Quality of Life,2025,Placed,USA,Apple,133553,3.83,Schengen Student Visa,Blue Card,PTE,7.9
S00055,UAE,Germany,Humboldt University,Medicine,Social Sciences,2019,Yes,Higher Ranking,2022,Not Placed,,,0,3.11,Student Visa,Blue Card,PTE,7.4
S00056,India,Finland,University of Helsinki,Finance,Social Sciences,2019,Yes,Scholarship,2021,Not Placed,,,0,3.32,F1,Work Permit,Duolingo,7.4
S00057,South Africa,India,Delhi University,Biotechnology,Medicine,2022,Yes,Job Opportunities,2025,Placed,India,Intel,83516,3.63,Tier 4,OPT,TOEFL,5.5
S00058,South Africa,Finland,LUT University,Electrical Engineering,Medicine,2023,Yes,Political Stability,2025,Not Placed,,,0,3.06,Schengen Student Visa,PSW,TOEFL,7.5
S00059,Ireland,USA,UC Berkeley,Data Science,Medicine,2023,No,Political Stability,2025,Not Placed,,,0,3.47,F1,OPT,Duolingo,7
S00060,Russia,Finland,Aalto University,Data Science,Computer Science,2020,No,Job Opportunities,2022,Not Placed,,,0,3.34,Tier 4,Work Permit,Duolingo,6.1
S00061,Ireland,India,JNU Delhi,Economics,Business,2023,No,Scholarship,2026,Placed,India,Google,84161,3.02,J1,Work Permit,,0
S00062,South Africa,Canada,Western University,Architecture,Engineering,2020,Yes,Political Stability,2022,Not Placed,,,0,2.87,F1,Blue Card,TOEFL,7.5
S00063,USA,Russia,Saint Petersburg State University,Data Science,Computer Science,2022,Yes,Political Stability,2023,Placed,Russia,McKinsey,51363,3.01,Tier 4,PSW,PTE,7.2
S00064,Russia,UAE,Zayed University,Biotechnology,Law,2023,No,Job Opportunities,2026,Not Placed,,,0,3.07,Tier 4,OPT,,0
S00065,Germany,Canada,University of Toronto,Civil Engineering,Natural Sciences,2022,Yes,Higher Ranking,2024,Placed,Canada,IBM,34218,2.71,F1,Post-Study Visa,IELTS,5.7
S00066,Russia,Germany,Technical University of Munich,Business Administration,Business,2019,No,Job Opportunities,2020,Placed,Germany,Amazon,107669,2.71,Schengen Student Visa,Blue Card,PTE,5.2
S00067,Ireland,UK,King's College London,Finance,Arts,2021,Yes,Job Opportunities,2023,Placed,UK,IBM,142540,3.53,Schengen Student Visa,Work Permit,TOEFL,5.7
S00068,UK,USA,MIT,Medicine,Social Sciences,2023,No,Quality of Life,2025,Not Placed,,,0,3.25,J1,Post-Study Visa,,0
S00069,India,Canada,University of Ottawa,Business Administration,Social Sciences,2019,No,Political Stability,2020,Placed,Canada,Facebook,127261,3.24,Study Permit,PSW,TOEFL,6.4
S00070,USA,South Africa,Stellenbosch University,Political Science,Natural Sciences,2020,Yes,Political Stability,2022,Not Placed,,,0,3.99,F1,PSW,TOEFL,7.8
S00071,South Africa,UK,University of Edinburgh,Business Administration,Arts,2021,No,Higher Ranking,2024,Placed,UK,Amazon,55598,3.11,F1,Post-Study Visa,TOEFL,6.3
S00072,Russia,Finland,Tampere University,Design,Business,2019,No,Political Stability,2022,Placed,Finland,McKinsey,80641,2.62,Schengen Student Visa,PSW,Duolingo,5.3
S00073,Ireland,Germany,Heidelberg University,Law,Engineering,2020,No,Higher Ranking,2022,Placed,Germany,Tesla,120015,3.53,Student Visa,PSW,TOEFL,5.5
S00074,South Africa,UK,University of Cambridge,Law,Medicine,2023,No,Political Stability,2024,Placed,UK,Apple,57552,3.89,Student Visa,Post-Study Visa,TOEFL,6.8
S00075,Ireland,Finland,LUT University,Mechanical Engineering,Computer Science,2023,Yes,Quality of Life,2026,Placed,Finland,Apple,73613,3.42,F1,OPT,PTE,6.5
S00076,USA,UAE,University of Dubai,Design,Computer Science,2021,Yes,Scholarship,2023,Not Placed,,,0,2.6,Student Visa,Blue Card,,0
S00077,Canada,Russia,Kazan Federal University,Psychology,Computer Science,2021,No,Quality of Life,2023,Placed,Russia,Goldman Sachs,149425,2.85,J1,Post-Study Visa,Duolingo,5.1
S00078,India,Canada,University of Alberta,Architecture,Computer Science,2019,Yes,Higher Ranking,2022,Placed,Canada,Facebook,63935,3.22,F1,Work Permit,,0
S00079,Finland,UAE,Middlesex University Dubai,Design,Engineering,2023,Yes,Higher Ranking,2025,Not Placed,,,0,3.18,Tier 4,Blue Card,TOEFL,6.3
S00080,Canada,UK,University of Manchester,Architecture,Computer Science,2022,No,Political Stability,2024,Placed,UK,Google,112160,2.53,Student Visa,OPT,PTE,7.3
S00081,UK,Germany,TU Berlin,Data Science,Natural Sciences,2021,No,Job Opportunities,2024,Not Placed,,,0,3.33,Tier 4,PSW,IELTS,7.2
S00082,Finland,USA,,Architecture,Social Sciences,2020,No,Higher Ranking,,,USA,Microsoft,127551,3.82,Tier 4,,IELTS,7.3
S00083,Germany,India,BITS Pilani,Psychology,Medicine,2023,No,Quality of Life,2026,Placed,India,Tesla,92250,3.09,J1,OPT,Duolingo,7.7
S00084,Russia,India,JNU Delhi,Biotechnology,Business,2019,No,Job Opportunities,2020,Placed,India,Tesla,106963,2.61,Student Visa,Blue Card,PTE,6
S00085,Finland,UK,Imperial College London,Political Science,Engineering,2023,Yes,Higher Ranking,2026,Not Placed,,,0,2.65,Schengen Student Visa,PSW,Duolingo,8.5
S00086,Canada,USA,NYU,Biotechnology,Natural Sciences,2022,No,Job Opportunities,2024,Placed,USA,Tesla,57256,3.38,Tier 4,PSW,TOEFL,7.4
S00087,UAE,UK,University of Edinburgh,Electrical Engineering,Engineering,2019,No,Quality of Life,2021,Placed,UK,Google,83047,3.97,F1,Work Permit,Duolingo,6.6
S00088,Ireland,USA,Stanford University,Business Administration,Law,2020,Yes,Job Opportunities,2022,Not Placed,,,0,3.68,Tier 4,OPT,,0
S00089,Ireland,USA,MIT,Business Administration,Law,2021,Yes,Scholarship,2024,Placed,USA,Siemens,63774,3.56,Student Visa,Post-Study Visa,TOEFL,7.6
S00090,Russia,USA,UC Berkeley,Political Science,Business,2021,No,Higher Ranking,2023,Not Placed,,,0,3.71,Schengen Student Visa,Post-Study Visa,PTE,5.6
S00091,Finland,UAE,Khalifa University,Law,Arts,2020,Yes,Higher Ranking,2023,Not Placed,,,0,2.77,Tier 4,Blue Card,TOEFL,5.2
S00092,USA,UK,University of Cambridge,Data Science,Business,2022,No,Political Stability,2023,Not Placed,,,0,2.82,Schengen Student Visa,PSW,IELTS,6.4
S00093,Finland,Ireland,Technological University Dublin,Architecture,Arts,2022,No,Scholarship,2025,Not Placed,,,0,2.77,Tier 4,Post-Study Visa,Duolingo,7.7
S00094,Germany,Russia,Moscow Institute of Physics and Technology,Psychology,Medicine,2022,No,Higher Ranking,2023,Placed,Russia,Tesla,134172,3.22,Student Visa,Work Permit,IELTS,7.2
S00095,UK,South Africa,University of KwaZulu-Natal,Design,Engineering,2019,Yes,Political Stability,2021,Not Placed,,,0,3.62,F1,OPT,IELTS,7.2
S00096,UAE,South Africa,University of the Witwatersrand,Economics,Social Sciences,2023,No,Higher Ranking,2026,Not Placed,,,0,3.24,J1,Work Permit,,0
S00097,South Africa,Ireland,Maynooth University,Psychology,Law,2020,No,Job Opportunities,2022,Placed,Ireland,Apple,122560,2.9,J1,PSW,PTE,5.1
S00098,Finland,USA,University of Chicago,Psychology,Arts,2021,No,Higher Ranking,2024,Not Placed,,,0,3.01,Study Permit,OPT,IELTS,7.7
S00099,Finland,USA,Columbia University,Computer Science,Medicine,2022,No,Quality of Life,2023,Not Placed,,,0,3.79,J1,OPT,TOEFL,5.7
S00100,Russia,India,BITS Pilani,Design,Arts,2021,Yes,Scholarship,2024,Not Placed,,,0,3.44,Tier 4,OPT,PTE,5.7
S00101,South Africa,Germany,TU Berlin,Law,Social Sciences,2022,No,Higher Ranking,2025,Placed,Germany,SAP,59168,3.91,F1,PSW,,0
S00102,Germany,Canada,,Civil Engineering,Natural Sciences,2022,Yes,Higher Ranking,2024,,Canada,IBM,34218,2.71,F1,Post-Study Visa,,5.7
S00103,UK,India,IIT Bombay,Business Administration,Engineering,2023,No,Higher Ranking,2025,Not Placed,,,0,3.52,Tier 4,OPT,Duolingo,6.6
S00104,Germany,Finland,University of Eastern Finland,Economics,Natural Sciences,2019,Yes,Job Opportunities,2022,Placed,Finland,IBM,48942,3.15,F1,Post-Study Visa,,0
S00105,Finland,UAE,University of Dubai,Psychology,Natural Sciences,2020,Yes,Higher Ranking,2021,Placed,UAE,Microsoft,57389,3.37,Tier 4,Work Permit,IELTS,5.5
S00106,India,Russia,Bauman Moscow State Technical University,Psychology,Law,2019,Yes,Scholarship,2022,Placed,Russia,Goldman Sachs,45866,3.85,Schengen Student Visa,Post-Study Visa,,0
S00107,Germany,UK,University of Cambridge,Medicine,Computer Science,2022,No,Quality of Life,2024,Placed,UK,Tesla,56343,2.79,Schengen Student Visa,OPT,TOEFL,8.8
S00108,UK,South Africa,University of Cape Town,Political Science,Computer Science,2022,No,Scholarship,2023,Placed,South Africa,Deloitte,131559,3.29,Tier 4,PSW,PTE,8.2
S00109,Finland,UK,University of Oxford,Political Science,Business,2021,Yes,Political Stability,2024,Placed,UK,Deloitte,140986,3,J1,Post-Study Visa,IELTS,8.2
S00110,India,USA,UCLA,Economics,Engineering,2021,No,Higher Ranking,2023,Placed,USA,Goldman Sachs,144597,3.47,J1,Blue Card,Duolingo,5.2
S00111,India,Ireland,Trinity College Dublin,Civil Engineering,Computer Science,2022,No,Higher Ranking,2024,Placed,Ireland,Deloitte,58807,3.36,Study Permit,Post-Study Visa,IELTS,5.5
S00112,India,Finland,University of Eastern Finland,Psychology,Social Sciences,2022,Yes,Political Stability,2024,Not Placed,,,0,3.75,J1,PSW,PTE,5.2
S00113,Finland,USA,University of Chicago,Medicine,Natural Sciences,2022,No,Higher Ranking,2023,Placed,USA,IBM,107665,2.88,Student Visa,Work Permit,PTE,5.4
S00114,Finland,Germany,University of Stuttgart,Law,Computer Science,2023,Yes,Scholarship,2026,Not Placed,,,0,3.49,J1,PSW,TOEFL,5.1
S00115,Finland,South Africa,University of KwaZulu-Natal,Mechanical Engineering,Arts,2021,No,Higher Ranking,2023,Not Placed,,,0,3.54,Tier 4,Post-Study Visa,IELTS,5.3
S00116,South Africa,Ireland,National University of Ireland Galway,Civil Engineering,Business,2020,No,Political Stability,2021,Placed,Ireland,Deloitte,95555,3.15,F1,Post-Study Visa,TOEFL,9
S00117,Finland,UK,UCL,Data Science,Business,2020,No,Quality of Life,2022,Placed,UK,Deloitte,62747,3.03,F1,Blue Card,PTE,7.3
S00118,Finland,USA,UC Berkeley,Design,Medicine,2021,No,Quality of Life,2022,Not Placed,,,0,3.04,F1,Blue Card,PTE,7.9
S00119,USA,Russia,Novosibirsk State University,Design,Law,2022,Yes,Job Opportunities,2023,Placed,Russia,McKinsey,98698,3.81,F1,Blue Card,TOEFL,6.5
S00120,South Africa,Russia,Higher School of Economics,Psychology,Arts,2023,No,Job Opportunities,2025,Placed,Russia,Amazon,119341,2.93,Study Permit,Blue Card,Duolingo,6.1
S00121,USA,UAE,University of Dubai,Law,Social Sciences,2023,Yes,Political Stability,2025,Not Placed,,,0,3.95,F1,PSW,,0
S00122,Finland,UK,University of Birmingham,Law,Engineering,2023,No,Job Opportunities,2026,Placed,UK,Deloitte,118240,3.08,J1,Post-Study Visa,,0
S00123,Canada,Russia,Kazan Federal University,Law,Business,2023,Yes,Job Opportunities,2025,Not Placed,,,0,3.21,J1,Work Permit,PTE,8.2
S00124,South Africa,USA,NYU,Economics,Medicine,2022,No,Higher Ranking,2023,Placed,USA,SAP,118440,3.51,Tier 4,OPT,IELTS,5.2
S00125,Ireland,Russia,Moscow Institute of Physics and Technology,Business Administration,Medicine,2021,Yes,Quality of Life,2022,Placed,Russia,Google,72279,3.24,Tier 4,PSW,,0
S00126,Germany,UAE,University of Dubai,Design,Social Sciences,2022,Yes,Quality of Life,2025,Not Placed,,,0,3.71,Tier 4,Post-Study Visa,IELTS,8
S00127,South Africa,Russia,Higher School of Economics,Data Science,Social Sciences,2022,No,Scholarship,2024,Placed,Russia,Microsoft,78980,3.93,Schengen Student Visa,Work Permit,PTE,8.7
S00128,Finland,Ireland,University College Cork,Electrical Engineering,Engineering,2022,Yes,Scholarship,2024,Placed,Ireland,Tesla,145270,2.88,J1,Work Permit,TOEFL,7.2
S00129,UAE,South Africa,Stellenbosch University,Architecture,Business,2019,No,Job Opportunities,2021,Placed,South Africa,Deloitte,49023,3.05,Study Permit,Work Permit,,0
S00130,Germany,India,NIT Trichy,Design,Social Sciences,2021,No,Higher Ranking,2022,Not Placed,,,0,2.7,F1,Post-Study Visa,TOEFL,8.2
S00131,UAE,India,Delhi University,Architecture,Business,2019,No,Scholarship,2020,Not Placed,,,0,3.48,Student Visa,Post-Study Visa,TOEFL,6.4
S00132,USA,UAE,Middlesex University Dubai,Electrical Engineering,Arts,2021,Yes,Job Opportunities,2023,Placed,UAE,Apple,35945,2.85,J1,Post-Study Visa,TOEFL,5.9
S00133,Ireland,UK,Imperial College London,Mechanical Engineering,Medicine,2021,Yes,Job Opportunities,2024,Placed,UK,Microsoft,84436,3.76,Study Permit,Work Permit,Duolingo,7.9
S00134,Ireland,USA,NYU,Civil Engineering,Business,2023,No,Quality of Life,2024,Placed,USA,SAP,106776,2.88,Student Visa,Blue Card,PTE,8.3
S00135,India,Germany,Heidelberg University,Data Science,Business,2023,Yes,Higher Ranking,2024,Not Placed,,,0,2.75,F1,Blue Card,Duolingo,8.5
S00136,Ireland,USA,Harvard University,Architecture,Computer Science,2022,Yes,Job Opportunities,2025,Placed,USA,Deloitte,103698,2.63,J1,OPT,IELTS,7.1
S00137,India,UK,University of Birmingham,Law,Computer Science,2021,Yes,Political Stability,2022,Placed,UK,McKinsey,111966,2.86,Schengen Student Visa,Blue Card,,0
S00138,Ireland,Germany,LMU Munich,Civil Engineering,Business,2023,Yes,Scholarship,2024,Not Placed,,,0,3.33,Student Visa,PSW,,0
S00139,USA,Canada,McGill University,Data Science,Medicine,2022,Yes,Higher Ranking,2025,Placed,Canada,Google,114986,2.67,Tier 4,PSW,,0
S00140,Finland,India,IIT Bombay,Civil Engineering,Natural Sciences,2021,Yes,Political Stability,2022,Placed,India,SAP,86902,2.97,Study Permit,Post-Study Visa,Duolingo,7.7
S00141,Ireland,Russia,Kazan Federal University,Architecture,Arts,2019,No,Political Stability,2020,Placed,Russia,SAP,109316,3.1,Student Visa,PSW,PTE,7.5
S00142,India,UAE,University of Dubai,Law,Medicine,2020,No,Scholarship,2021,Placed,UAE,IBM,117772,2.55,Tier 4,Post-Study Visa,TOEFL,5.7
S00143,USA,India,IIT Madras,Political Science,Social Sciences,2020,Yes,Quality of Life,2021,Not Placed,,,0,3.86,Tier 4,Blue Card,TOEFL,7.4
S00144,Ireland,UAE,Heriot-Watt Dubai,Political Science,Social Sciences,2019,Yes,Job Opportunities,2022,Placed,UAE,Amazon,136531,3.63,Schengen Student Visa,Post-Study Visa,IELTS,5.9
S00145,Canada,India,JNU Delhi,Civil Engineering,Business,2022,Yes,Quality of Life,2024,Placed,India,Tesla,60042,2.55,F1,PSW,TOEFL,8.4
S00146,USA,India,NIT Trichy,Architecture,Law,2022,Yes,Scholarship,2023,Placed,India,Apple,110655,2.83,J1,Blue Card,,0
S00147,Russia,UAE,University of Dubai,Political Science,Social Sciences,2019,No,Job Opportunities,2021,Placed,UAE,IBM,44783,3.72,J1,PSW,IELTS,7.8
S00148,UK,India,NIT Trichy,Mechanical Engineering,Business,2023,Yes,Higher Ranking,2025,Placed,India,Intel,91543,3.07,F1,Work Permit,Duolingo,6.2
S00149,Canada,UAE,Zayed University,Architecture,Law,2020,No,Political Stability,2023,Not Placed,,,0,2.55,F1,OPT,Duolingo,8.9
S00150,Russia,UAE,American University of Sharjah,Design,Medicine,2020,Yes,Political Stability,2021,Not Placed,,,0,2.78,Tier 4,Post-Study Visa,TOEFL,5.4
S00151,Russia,Ireland,Maynooth University,Political Science,Law,2022,Yes,Quality of Life,2025,Placed,Ireland,Goldman Sachs,31249,2.57,F1,Post-Study Visa,IELTS,8.6
S00152,Germany,Canada,Simon Fraser University,Architecture,Social Sciences,2021,No,Political Stability,2023,Not Placed,,,0,2.91,Tier 4,PSW,Duolingo,8.4
S00153,Germany,South Africa,Stellenbosch University,Architecture,Computer Science,2020,Yes,Job Opportunities,2023,Not Placed,,,0,2.94,J1,Work Permit,Duolingo,6.7
S00154,Finland,USA,Stanford University,Mechanical Engineering,Arts,2023,Yes,Job Opportunities,2026,Not Placed,,,0,3.91,J1,Work Permit,TOEFL,7.9
S00155,Canada,UAE,Manipal Academy Dubai,Design,Medicine,2023,Yes,Higher Ranking,2024,Placed,UAE,Amazon,123153,3.62,Schengen Student Visa,Blue Card,TOEFL,7.8
S00156,UK,South Africa,University of Pretoria,Law,Computer Science,2021,No,Quality of Life,2024,Placed,South Africa,Microsoft,54951,2.54,Student Visa,PSW,,0
S00157,Canada,UK,University of Birmingham,Economics,Law,2022,No,Job Opportunities,2023,Not Placed,,,0,3.18,Student Visa,Work Permit,PTE,6.3
S00158,Germany,UAE,American University of Sharjah,Psychology,Arts,2020,No,Quality of Life,2021,Not Placed,,,0,3.18,F1,Work Permit,IELTS,8.5
S00159,Germany,UK,UCL,Civil Engineering,Social Sciences,2019,No,Higher Ranking,2020,Not Placed,,,0,2.98,Study Permit,Post-Study Visa,,0
S00160,UAE,UK,University of Oxford,Law,Natural Sciences,2023,Yes,Higher Ranking,2024,Not Placed,,,0,3.48,Tier 4,OPT,TOEFL,5.3
S00161,UK,USA,Columbia University,Economics,Law,2021,Yes,Quality of Life,2022,Not Placed,,,0,3.06,Tier 4,PSW,TOEFL,6.6
S00162,USA,UAE,University of Dubai,Finance,Business,2022,No,Job Opportunities,2024,Not Placed,,,0,3.29,F1,PSW,IELTS,7.3
S00163,,Germany,Heidelbeerg University,Psychology,Law,,Yes,,2022,Placed,,Intel,89750,2.6,J1,Blue Card,PTE,7.9
S00164,South Africa,UK,University of Birmingham,Data Science,Business,2023,Yes,Scholarship,2026,Not Placed,,,0,3.81,Schengen Student Visa,Blue Card,Duolingo,7.3
S00165,India,Germany,Heidelberg University,Biotechnology,Arts,2023,Yes,Political Stability,2024,Not Placed,,,0,3.38,Schengen Student Visa,Post-Study Visa,Duolingo,8.4
S00166,USA,Canada,McGill University,Civil Engineering,Business,2021,Yes,Scholarship,2022,Placed,Canada,Goldman Sachs,121266,2.76,J1,Post-Study Visa,PTE,7.4
S00167,Russia,Finland,Ã…bo Akademi University,Finance,Medicine,2019,No,Scholarship,2021,Not Placed,,,0,3.17,Tier 4,Post-Study Visa,,0
